07/18/2011 09:26:14 AM 12 mph S,-76.294047,37.005743,11.2
07/18/2011 09:26:21 AM 0 mph S,-76.293927,37.005443,10.4
07/18/2011 09:26:28 AM 9 mph S,-76.293975,37.005182,9.7
07/18/2011 09:26:35 AM 9 mph SW,-76.294177,37.004985,9.5
07/18/2011 09:26:42 AM 13 mph W,-76.29454,37.004888,11.2
07/18/2011 09:26:49 AM 13 mph W,-76.294983,37.00487,12.9
07/18/2011 09:26:56 AM 13 mph W,-76.29543,37.004828,12.5
07/18/2011 09:27:00 AM 13 mph W,-76.295877,37.004788,11.7
07/18/2011 09:27:09 AM 14 mph W,-76.296337,37.004808,11.8
07/18/2011 09:27:18 AM 12 mph W,-76.296765,37.0049,12
07/18/2011 09:27:27 AM 6 mph W,-76.297005,37.00497,12.3
07/18/2011 09:27:36 AM 5 mph NW,-76.297163,37.005045,12.9
07/18/2011 09:27:45 AM 4 mph NW,-76.297258,37.005153,13.5
07/18/2011 09:27:54 AM 2 mph NW,-76.297382,37.005272,15.3
07/18/2011 09:28:00 AM 1 mph W,-76.29748,37.005313,15.9
07/18/2011 09:28:15 AM 1 mph W,-76.297613,37.005272,15
07/18/2011 09:28:30 AM 2 mph SW,-76.297708,37.005182,13.1
07/18/2011 09:28:45 AM 1 mph SW,-76.297733,37.005157,13.4
07/18/2011 09:29:00 AM 1 mph SW,-76.297828,37.00506,13.4
07/18/2011 09:29:15 AM 1 mph SW,-76.297908,37.004962,12.9
07/18/2011 09:29:30 AM 1 mph SW,-76.297935,37.004925,12.8
07/18/2011 09:29:45 AM 1 mph SW,-76.297977,37.004853,12.8
07/18/2011 09:30:00 AM 1 mph S,-76.298048,37.004733,13.3
07/18/2011 09:30:30 AM 1 mph S,-76.298072,37.004633,14.4
07/18/2011 09:31:00 AM 1 mph S,-76.298105,37.004508,12.4
07/18/2011 09:31:20 AM 1 mph S,-76.298145,37.004403,10
07/18/2011 09:31:40 AM 1 mph S,-76.298188,37.004292,8.4
07/18/2011 09:32:00 AM 1 mph S,-76.2982,37.004188,9.4
07/18/2011 09:32:10 AM 9 mph NW,-76.298433,37.004328,9.7
07/18/2011 09:32:20 AM 9 mph N,-76.298478,37.004583,10.4
07/18/2011 09:32:30 AM 9 mph NE,-76.298282,37.004773,12.1
07/18/2011 09:32:40 AM 9 mph E,-76.297972,37.004798,13.5
07/18/2011 09:32:50 AM 9 mph SE,-76.29767,37.004702,14.1
07/18/2011 09:33:00 AM 7 mph SE,-76.297418,37.004583,14.1
07/18/2011 09:33:08 AM 5 mph SE,-76.29726,37.004488,13.8
07/18/2011 09:33:16 AM 4 mph SE,-76.297147,37.00441,13.2
07/18/2011 09:33:24 AM 3 mph SE,-76.297067,37.00434,12.6
07/18/2011 09:33:32 AM 3 mph S,-76.297008,37.004277,11.9
07/18/2011 09:33:40 AM 2 mph S,-76.296958,37.004212,11.1
07/18/2011 09:33:48 AM 2 mph S,-76.296918,37.004103,9.2
07/18/2011 09:33:56 AM 2 mph S,-76.296905,37.004052,8.4
07/18/2011 09:34:00 AM 2 mph S,-76.296888,37.004002,8.2
07/18/2011 09:34:20 AM 2 mph S,-76.296888,37.003868,8.2
07/18/2011 09:34:40 AM 1 mph S,-76.296925,37.00374,8.3
07/18/2011 09:35:00 AM 1 mph S,-76.296965,37.003642,8.6
07/18/2011 09:35:15 AM 1 mph S,-76.296997,37.003545,9.4
07/18/2011 09:35:30 AM 1 mph S,-76.297005,37.003513,9.7
07/18/2011 09:35:45 AM 1 mph S,-76.297033,37.003448,10.1
07/18/2011 09:36:00 AM 1 mph SW,-76.297085,37.003333,10.1
07/18/2011 09:36:10 AM 5 mph S,-76.297077,37.003203,9.6
07/18/2011 09:36:20 AM 7 mph S,-76.297077,37.00305,9.4
07/18/2011 09:36:30 AM 10 mph SW,-76.297198,37.00283,9.2
07/18/2011 09:36:40 AM 10 mph W,-76.297505,37.00268,8.8
07/18/2011 09:36:50 AM 10 mph W,-76.297855,37.00268,8.5
07/18/2011 09:37:00 AM 10 mph W,-76.298217,37.002687,8.5
07/18/2011 09:37:08 AM 10 mph W,-76.298587,37.002688,8.7
07/18/2011 09:37:16 AM 6 mph NW,-76.298865,37.002793,8.8
07/18/2011 09:37:24 AM 4 mph NW,-76.298973,37.002912,8.8
07/18/2011 09:37:32 AM 8 mph N,-76.29901,37.003098,8.8
07/18/2011 09:37:40 AM 10 mph N,-76.298997,37.003362,8.7
07/18/2011 09:37:48 AM 10 mph N,-76.29892,37.00363,8.8
07/18/2011 09:37:56 AM 11 mph N,-76.298817,37.003918,9.1
07/18/2011 09:38:00 AM 11 mph N,-76.298715,37.004208,9
07/18/2011 09:38:08 AM 11 mph N,-76.298595,37.004487,9
07/18/2011 09:38:16 AM 10 mph NE,-76.298357,37.00471,8.9
07/18/2011 09:38:24 AM 10 mph NE,-76.298135,37.004913,8.9
07/18/2011 09:38:32 AM 6 mph NE,-76.297947,37.005075,8.7
07/18/2011 09:38:40 AM 3 mph NE,-76.29784,37.005162,8.2
07/18/2011 09:38:48 AM 2 mph NE,-76.297768,37.005212,7.8
07/18/2011 09:38:56 AM 1 mph NE,-76.297717,37.005238,7.4
07/18/2011 09:39:00 AM 0 mph E,-76.297623,37.00525,6.4
07/18/2011 09:40:00 AM 1 mph SW,-76.297707,37.00508,6.4
07/18/2011 09:40:20 AM 1 mph SW,-76.297722,37.005038,7
07/18/2011 09:40:40 AM 1 mph S,-76.297742,37.004978,8
07/18/2011 09:41:00 AM 1 mph S,-76.297765,37.004857,10.3
07/18/2011 09:41:12 AM 1 mph S,-76.297788,37.004755,10.3
07/18/2011 09:41:24 AM 2 mph SW,-76.297828,37.004658,9.9
07/18/2011 09:41:36 AM 7 mph NW,-76.297982,37.00478,9.7
07/18/2011 09:41:48 AM 9 mph N,-76.29802,37.005002,9.7
07/18/2011 09:42:00 AM 9 mph N,-76.297942,37.005248,9.8
07/18/2011 09:42:12 AM 6 mph NE,-76.297808,37.005462,9.6
07/18/2011 09:42:24 AM 3 mph N,-76.29776,37.005583,9.2
07/18/2011 09:42:36 AM 1 mph NW,-76.297815,37.00568,8.5
07/18/2011 09:42:48 AM 1 mph W,-76.297942,37.00569,9.6
07/18/2011 09:43:00 AM 2 mph SW,-76.298042,37.005588,11.3
07/18/2011 09:43:20 AM 1 mph SW,-76.298062,37.005553,11.3
07/18/2011 09:43:40 AM 1 mph S,-76.298112,37.005448,10.5
07/18/2011 09:44:00 AM 1 mph S,-76.298138,37.005378,10.7
07/18/2011 09:44:15 AM 1 mph S,-76.29815,37.005345,11
07/18/2011 09:44:30 AM 1 mph S,-76.298172,37.005248,10.9
07/18/2011 09:44:45 AM 2 mph S,-76.298202,37.00514,9.7
07/18/2011 09:45:00 AM 2 mph S,-76.29819,37.00503,8.7
07/18/2011 09:45:20 AM 1 mph S,-76.29821,37.004928,7.3
07/18/2011 09:45:40 AM 1 mph S,-76.298225,37.00482,6.8
07/18/2011 09:46:00 AM 1 mph S,-76.298233,37.00474,6.5
07/18/2011 09:46:20 AM 1 mph S,-76.298237,37.004702,6.4
07/18/2011 09:46:40 AM 1 mph S,-76.298225,37.00459,7.5
07/18/2011 09:47:00 AM 1 mph S,-76.298248,37.004462,7.9
07/18/2011 09:47:20 AM 2 mph S,-76.298262,37.00433,8
07/18/2011 09:47:40 AM 2 mph S,-76.298267,37.004208,7.3
07/18/2011 09:48:00 AM 1 mph S,-76.298258,37.004085,7.5
07/18/2011 09:48:15 AM 2 mph S,-76.298267,37.003948,7.1
07/18/2011 09:48:30 AM 1 mph S,-76.298275,37.003855,6.2
07/18/2011 09:48:45 AM 2 mph S,-76.298268,37.00376,5.8
07/18/2011 09:49:00 AM 1 mph S,-76.298267,37.003667,5.4
